"gene_list","label","n_tfs","n_targets","pct_outdeg","NES","targets"
"GO_cell_death","C4-GATA-related",1,4,3.41880341880342,NA,"Prkcd; Tmbim6; Tspo; Vav1"
"GO_cell_death","CEBP-related",3,29,138.095238095238,2.34164403988581,"Tmbim6; Nfkbiz; Il1b; Atf3; Fcer1g; Osm; Tspo; Lcn2; B2m; Ctsd; C3; Bcl2a1b; Ltf; Ucp2; S100a8; Dock8; Trem2; Capn3; Grn; Cadm1; Prkcd; Srgn; Rest; Il18rap; Plaur; Ccr5; Cxcl12; Ptpn6; Ccl2"
"GO_cell_death","E2F",1,22,20.5607476635514,2.29026309474594,"Dock8; Ccl2; Lyz2; Rest; Bcl2a1b; Vav1; Atf3; Il1b; Pik3cg; Cxcl12; Itm2c; Ctsc; Nfkbiz; Il18rap; B2m; Ptpn6; Ccr5; Fcgr1; Prkcd; Cd74; Srgn; Plaur"
"GO_cell_death","Ets-related",5,21,15,2.27710584515315,"Dock8; Ccl2; Lyz2; Rest; Bcl2a1b; Vav1; Atf3; Il1b; Pik3cg; Cxcl12; Itm2c; Ctsc; Nfkbiz; Il18rap; B2m; Ptpn6; Ccr5; Fcgr1; Prkcd; Cd74; Srgn"
"GO_cell_death","Interferon-regulatory factors",6,41,34.1666666666667,2.55253204921262,"Osm; Tmbim6; H2-M3; Cxcl10; Atf3; B2m; H2-D1; H2-K1; H2-T23; Csf1r; Fcgr1; Il1b; Nfkbiz; Fcgr4; Lrp5; Itm2c; Srgn; Cadm1; Ctsc; Cxcl12; Ucp2; Lgmn; Lsp1; Epha2; Ccl2; Prkcd; C3; Cd74; Tnf; Ptpn6; Bcl2a1b; Ncf1; Igtp; Capn3; Gbp2; Ctsh; Dock8; Grn; Fgl2; Pik3cg; Ltf"
"GO_cell_death","Jun-related",1,22,44,2.28715057348229,"Prkcd; Lsp1; Itm2c; Lgals9; Tspo; Lcn2; Csf1r; Osm; S100a9; Rps6ka1; Cd74; Lrp5; C3; Atf3; Rest; Capn3; Cadm1; H2-K1; Trem2; Ltf; Grn; H2-D1"
"GO_cell_death","More than 3 adjacent zinc fingers",1,42,30,2.53020261912142,"Ccl2; Cxcl10; Epha2; Lsp1; Nfkbiz; Bcl2a1b; Ctsh; Il1b; Atf3; Cd74; Cadm1; Vav1; Prkcd; H2-D1; Tnf; H2-K1; Csf1r; Lgmn; B2m; Tmbim6; Rest; Ltf; Fcgr4; Ncf1; Lrp5; Tspo; Cxcl12; Itm2c; Dock8; Pik3cg; Lyz2; Fcgr1; Ctsc; Ptpn6; Grn; Ucp2; Srgn; Il18rap; Osm; Ccr5; C3; H2-T23"
"GO_cell_death","NF-kappaB-related factors",1,42,35,2.56416511682135,"Cxcl10; Ccl2; Nfkbiz; Lsp1; Il1b; Ctsh; B2m; Epha2; Prkcd; Cadm1; Cd74; H2-K1; Csf1r; Bcl2a1b; Tnf; C3; Lrp5; Atf3; Top2a; Tspo; Lgmn; H2-D1; S100a8; Rest; Itm2c; Plaur; Trem2; Fcgr4; Ptpn6; Cxcl12; Ltf; Srgn; Fcgr1; Vav1; Tmbim6; Ncf1; Dock8; H2-T23; Ctsc; Tyrobp; Igtp; Pik3cg"
"GO_cell_death","NFAT-related factors",2,40,26.8456375838926,2.55322977966137,"Ccl2; Lsp1; Nfkbiz; Cxcl10; Il1b; Bcl2a1b; Epha2; Ctsh; Prkcd; Cd74; B2m; Tnf; Atf3; Itm2c; Ltf; Cadm1; H2-K1; Fcgr4; Lrp5; Tmbim6; Tspo; Csf1r; Rest; Dock8; Pik3cg; Lyz2; Vav1; Fcgr1; Ctsc; Ncf1; Cxcl12; Ptpn6; Grn; Ucp2; Srgn; Il18rap; Osm; Ccr5; H2-T23; C3"
"GO_cell_death","SOX-related factors",1,4,50,NA,"Prkcd; Fcer1g; Lsp1; Osm"
